N,T,method,f1,precision,recall,T_N
30,60,LASSO-TE,0.041,0.15,0.024,2.0
30,60,OLS-TE,0.119,0.119,0.12,2.0
30,120,LASSO-TE,0.088,0.274,0.053,4.0
30,120,OLS-TE,0.202,0.183,0.227,4.0
30,250,LASSO-TE,0.148,0.625,0.087,8.33
30,250,OLS-TE,0.307,0.28,0.342,8.33
30,500,LASSO-TE,0.309,0.85,0.198,16.67
30,500,OLS-TE,0.457,0.391,0.553,16.67
50,60,LASSO-TE,0.081,0.107,0.072,1.2
50,60,OLS-TE,0.133,0.131,0.135,1.2
50,120,LASSO-TE,0.048,0.349,0.026,2.4
50,120,OLS-TE,0.19,0.184,0.198,2.4
50,250,LASSO-TE,0.122,0.666,0.068,5.0
50,250,OLS-TE,0.315,0.284,0.355,5.0
50,500,LASSO-TE,0.304,0.81,0.189,10.0
50,500,OLS-TE,0.474,0.397,0.59,10.0
100,60,LASSO-TE,0.014,0.184,0.007,0.6
100,60,OLS-TE,0.115,0.111,0.119,0.6
100,120,LASSO-TE,0.067,0.25,0.039,1.2
100,120,OLS-TE,0.179,0.171,0.189,1.2
100,250,LASSO-TE,0.096,0.689,0.052,2.5
100,250,OLS-TE,0.316,0.286,0.354,2.5
100,500,LASSO-TE,0.263,0.842,0.156,5.0
100,500,OLS-TE,0.46,0.387,0.568,5.0
