N,T,T_N,trial,method,density_true,density_pred,density_error,kendall_tau
30,60,2.0,0,OLS,0.0517,0.0736,0.021839080459770115,0.218
30,60,2.0,0,LASSO,0.0517,0.0115,0.040229885057471264,0.188
30,60,2.0,1,OLS,0.0517,0.069,0.017241379310344827,-0.137
30,60,2.0,1,LASSO,0.0517,0.0161,0.035632183908045977,-0.053
30,60,2.0,2,OLS,0.0517,0.069,0.017241379310344827,0.006
30,60,2.0,2,LASSO,0.0517,0.0149,0.0367816091954023,-0.276
30,60,2.0,3,OLS,0.0517,0.0828,0.03103448275862069,-0.053
30,60,2.0,3,LASSO,0.0517,0.0138,0.03793103448275862,0.205
30,60,2.0,4,OLS,0.0517,0.0759,0.02413793103448276,0.115
30,60,2.0,4,LASSO,0.0517,0.0126,0.03908045977011494,0.068
30,60,2.0,5,OLS,0.0517,0.0598,0.008045977011494253,0.109
30,60,2.0,5,LASSO,0.0517,0.0161,0.035632183908045977,0.034
30,60,2.0,6,OLS,0.0517,0.0862,0.03448275862068966,0.103
30,60,2.0,6,LASSO,0.0517,0.0161,0.035632183908045977,-0.105
30,60,2.0,7,OLS,0.0517,0.0621,0.010344827586206896,0.066
30,60,2.0,7,LASSO,0.0517,0.008,0.04367816091954023,-0.127
30,250,8.33,0,OLS,0.0517,0.1609,0.10919540229885058,0.08
30,250,8.33,0,LASSO,0.0517,0.0322,0.01954022988505747,0.541
30,250,8.33,1,OLS,0.0517,0.1908,0.13908045977011496,0.156
30,250,8.33,1,LASSO,0.0517,0.0414,0.010344827586206896,0.317
30,250,8.33,2,OLS,0.0517,0.1149,0.06321839080459771,0.199
30,250,8.33,2,LASSO,0.0517,0.0207,0.03103448275862069,0.223
30,250,8.33,3,OLS,0.0517,0.1437,0.09195402298850575,0.194
30,250,8.33,3,LASSO,0.0517,0.0345,0.017241379310344827,0.187
30,250,8.33,4,OLS,0.0517,0.1069,0.055172413793103454,0.384
30,250,8.33,4,LASSO,0.0517,0.0195,0.03218390804597701,0.286
30,250,8.33,5,OLS,0.0517,0.1391,0.08735632183908046,0.286
30,250,8.33,5,LASSO,0.0517,0.023,0.028735632183908046,0.241
30,250,8.33,6,OLS,0.0517,0.1299,0.07816091954022988,0.157
30,250,8.33,6,LASSO,0.0517,0.023,0.028735632183908046,0.282
30,250,8.33,7,OLS,0.0517,0.1172,0.06551724137931034,0.071
30,250,8.33,7,LASSO,0.0517,0.0172,0.034482758620689655,0.151
50,120,2.4,0,OLS,0.051,0.0837,0.0326530612244898,0.175
50,120,2.4,0,LASSO,0.051,0.0049,0.046122448979591835,0.35
50,120,2.4,1,OLS,0.051,0.1114,0.060408163265306125,0.033
50,120,2.4,1,LASSO,0.051,0.0065,0.044489795918367346,0.189
50,120,2.4,2,OLS,0.051,0.0853,0.03428571428571428,0.226
50,120,2.4,2,LASSO,0.051,0.009,0.04204081632653062,0.175
50,120,2.4,3,OLS,0.051,0.0963,0.045306122448979594,0.256
50,120,2.4,3,LASSO,0.051,0.0094,0.04163265306122449,0.079
50,120,2.4,4,OLS,0.051,0.0792,0.028163265306122454,0.129
50,120,2.4,4,LASSO,0.051,0.0073,0.043673469387755105,0.233
50,120,2.4,5,OLS,0.051,0.0943,0.043265306122448985,0.032
50,120,2.4,5,LASSO,0.051,0.0086,0.04244897959183674,0.227
50,120,2.4,6,OLS,0.051,0.0743,0.02326530612244898,0.097
50,120,2.4,6,LASSO,0.051,0.009,0.04204081632653062,0.169
50,120,2.4,7,OLS,0.051,0.1082,0.05714285714285715,0.152
50,120,2.4,7,LASSO,0.051,0.0078,0.04326530612244898,0.119
50,500,10.0,0,OLS,0.051,0.1935,0.14244897959183672,0.328
50,500,10.0,0,LASSO,0.051,0.0233,0.027755102040816326,0.351
50,500,10.0,1,OLS,0.051,0.218,0.16693877551020408,0.26
50,500,10.0,1,LASSO,0.051,0.0233,0.027755102040816326,0.473
50,500,10.0,2,OLS,0.051,0.1784,0.1273469387755102,0.127
50,500,10.0,2,LASSO,0.051,0.0208,0.030204081632653063,0.325
50,500,10.0,3,OLS,0.051,0.2159,0.16489795918367348,0.003
50,500,10.0,3,LASSO,0.051,0.0208,0.030204081632653063,0.288
50,500,10.0,4,OLS,0.051,0.1612,0.11020408163265305,0.248
50,500,10.0,4,LASSO,0.051,0.0241,0.026938775510204082,0.428
50,500,10.0,5,OLS,0.051,0.2424,0.19142857142857142,0.183
50,500,10.0,5,LASSO,0.051,0.0265,0.02448979591836735,0.381
50,500,10.0,6,OLS,0.051,0.1988,0.14775510204081632,0.136
50,500,10.0,6,LASSO,0.051,0.0208,0.030204081632653063,0.396
50,500,10.0,7,OLS,0.051,0.218,0.16693877551020408,0.182
50,500,10.0,7,LASSO,0.051,0.0212,0.02979591836734694,0.443
100,60,0.6,0,OLS,0.0505,0.0834,0.032929292929292926,0.051
100,60,0.6,0,LASSO,0.0505,0.003,0.047474747474747475,0.127
100,60,0.6,1,OLS,0.0505,0.0793,0.028787878787878786,0.132
100,60,0.6,1,LASSO,0.0505,0.0021,0.04838383838383838,0.098
100,60,0.6,2,OLS,0.0505,0.087,0.03646464646464647,0.096
100,60,0.6,2,LASSO,0.0505,0.0031,0.047373737373737373,-0.156
100,60,0.6,3,OLS,0.0505,0.0678,0.01727272727272728,0.073
100,60,0.6,3,LASSO,0.0505,0.0027,0.04777777777777778,-0.013
100,60,0.6,4,OLS,0.0505,0.0829,0.03242424242424243,0.067
100,60,0.6,4,LASSO,0.0505,0.0015,0.048989898989898986,-0.016
100,60,0.6,5,OLS,0.0505,0.0851,0.03454545454545455,0.041
100,60,0.6,5,LASSO,0.0505,0.002,0.048484848484848485,-0.099
100,60,0.6,6,OLS,0.0505,0.0621,0.011616161616161615,-0.06
100,60,0.6,6,LASSO,0.0505,0.0033,0.04717171717171717,0.059
100,60,0.6,7,OLS,0.0505,0.0796,0.02909090909090909,0.076
100,60,0.6,7,LASSO,0.0505,0.0038,0.04666666666666667,0.085
100,250,2.5,0,OLS,0.0505,0.1738,0.12333333333333335,0.167
100,250,2.5,0,LASSO,0.0505,0.0094,0.04111111111111111,0.201
100,250,2.5,1,OLS,0.0505,0.1594,0.1088888888888889,0.214
100,250,2.5,1,LASSO,0.0505,0.0088,0.041717171717171715,0.146
100,250,2.5,2,OLS,0.0505,0.1678,0.11727272727272728,0.039
100,250,2.5,2,LASSO,0.0505,0.0098,0.040707070707070706,0.239
100,250,2.5,3,OLS,0.0505,0.1817,0.13121212121212122,0.047
100,250,2.5,3,LASSO,0.0505,0.009,0.04151515151515151,0.241
100,250,2.5,4,OLS,0.0505,0.1736,0.12313131313131315,0.201
100,250,2.5,4,LASSO,0.0505,0.0078,0.042727272727272725,0.115
100,250,2.5,5,OLS,0.0505,0.1974,0.14686868686868687,0.251
100,250,2.5,5,LASSO,0.0505,0.0099,0.040606060606060604,0.141
100,250,2.5,6,OLS,0.0505,0.2325,0.18202020202020203,0.153
100,250,2.5,6,LASSO,0.0505,0.0125,0.037979797979797975,0.299
100,250,2.5,7,OLS,0.0505,0.1506,0.10010101010101011,0.246
100,250,2.5,7,LASSO,0.0505,0.0099,0.040606060606060604,0.212
100,500,5.0,0,OLS,0.0505,0.2822,0.2317171717171717,0.263
100,500,5.0,0,LASSO,0.0505,0.0187,0.031818181818181815,0.307
100,500,5.0,1,OLS,0.0505,0.2807,0.23020202020202019,0.169
100,500,5.0,1,LASSO,0.0505,0.0211,0.029393939393939392,0.227
100,500,5.0,2,OLS,0.0505,0.3047,0.25424242424242427,0.075
100,500,5.0,2,LASSO,0.0505,0.0202,0.0303030303030303,0.223
100,500,5.0,3,OLS,0.0505,0.2332,0.18272727272727274,0.175
100,500,5.0,3,LASSO,0.0505,0.0169,0.03363636363636363,0.199
100,500,5.0,4,OLS,0.0505,0.2726,0.2221212121212121,0.089
100,500,5.0,4,LASSO,0.0505,0.0169,0.03363636363636363,0.288
100,500,5.0,5,OLS,0.0505,0.233,0.18252525252525253,0.097
100,500,5.0,5,LASSO,0.0505,0.0159,0.03464646464646465,0.068
100,500,5.0,6,OLS,0.0505,0.3857,0.33515151515151514,0.039
100,500,5.0,6,LASSO,0.0505,0.0252,0.025353535353535354,0.283
100,500,5.0,7,OLS,0.0505,0.3056,0.2550505050505051,0.067
100,500,5.0,7,LASSO,0.0505,0.02,0.030505050505050504,0.307
