dgp,N,T,method,f1,precision,recall,T_N
garch,30,60,LASSO-TE,0.127,0.275,0.084,2.0
garch,30,60,OLS-TE,0.165,0.134,0.22,2.0
garch,30,120,LASSO-TE,0.229,0.511,0.151,4.0
garch,30,120,OLS-TE,0.211,0.158,0.316,4.0
garch,30,250,LASSO-TE,0.373,0.55,0.284,8.3
garch,30,250,OLS-TE,0.259,0.179,0.48,8.3
garch,30,500,LASSO-TE,0.528,0.635,0.458,16.7
garch,30,500,OLS-TE,0.278,0.181,0.616,16.7
garch,50,60,LASSO-TE,0.085,0.247,0.054,1.2
garch,50,60,OLS-TE,0.151,0.125,0.19,1.2
garch,50,120,LASSO-TE,0.193,0.549,0.118,2.4
garch,50,120,OLS-TE,0.212,0.156,0.336,2.4
garch,50,250,LASSO-TE,0.369,0.791,0.242,5.0
garch,50,250,OLS-TE,0.263,0.18,0.498,5.0
garch,50,500,LASSO-TE,0.56,0.802,0.431,10.0
garch,50,500,OLS-TE,0.211,0.127,0.634,10.0
garch,100,60,LASSO-TE,0.051,0.484,0.027,0.6
garch,100,60,OLS-TE,0.152,0.123,0.2,0.6
garch,100,120,LASSO-TE,0.107,0.747,0.058,1.2
garch,100,120,OLS-TE,0.207,0.152,0.328,1.2
garch,100,250,LASSO-TE,0.283,0.942,0.167,2.5
garch,100,250,OLS-TE,0.22,0.144,0.472,2.5
garch,100,500,LASSO-TE,0.55,0.921,0.393,5.0
garch,100,500,OLS-TE,0.172,0.101,0.61,5.0
garch_factor,30,60,LASSO-TE,0.092,0.302,0.056,2.0
garch_factor,30,60,OLS-TE,0.159,0.138,0.189,2.0
garch_factor,30,120,LASSO-TE,0.216,0.546,0.14,4.0
garch_factor,30,120,OLS-TE,0.243,0.194,0.333,4.0
garch_factor,30,250,LASSO-TE,0.372,0.59,0.276,8.3
garch_factor,30,250,OLS-TE,0.254,0.178,0.449,8.3
garch_factor,30,500,LASSO-TE,0.514,0.639,0.436,16.7
garch_factor,30,500,OLS-TE,0.269,0.175,0.598,16.7
garch_factor,50,60,LASSO-TE,0.061,0.161,0.041,1.2
garch_factor,50,60,OLS-TE,0.149,0.125,0.188,1.2
garch_factor,50,120,LASSO-TE,0.178,0.585,0.106,2.4
garch_factor,50,120,OLS-TE,0.213,0.162,0.317,2.4
garch_factor,50,250,LASSO-TE,0.36,0.762,0.237,5.0
garch_factor,50,250,OLS-TE,0.274,0.191,0.496,5.0
garch_factor,50,500,LASSO-TE,0.553,0.794,0.427,10.0
garch_factor,50,500,OLS-TE,0.211,0.128,0.607,10.0
garch_factor,100,60,LASSO-TE,0.039,0.398,0.021,0.6
garch_factor,100,60,OLS-TE,0.135,0.111,0.171,0.6
garch_factor,100,120,LASSO-TE,0.105,0.677,0.057,1.2
garch_factor,100,120,OLS-TE,0.198,0.147,0.308,1.2
garch_factor,100,250,LASSO-TE,0.285,0.914,0.169,2.5
garch_factor,100,250,OLS-TE,0.227,0.149,0.48,2.5
garch_factor,100,500,LASSO-TE,0.532,0.95,0.371,5.0
garch_factor,100,500,OLS-TE,0.184,0.109,0.614,5.0
gaussian,30,60,LASSO-TE,0.031,0.131,0.018,2.0
gaussian,30,60,OLS-TE,0.115,0.114,0.118,2.0
gaussian,30,120,LASSO-TE,0.059,0.274,0.033,4.0
gaussian,30,120,OLS-TE,0.202,0.184,0.227,4.0
gaussian,30,250,LASSO-TE,0.128,0.718,0.071,8.3
gaussian,30,250,OLS-TE,0.307,0.278,0.344,8.3
gaussian,30,500,LASSO-TE,0.284,0.908,0.171,16.7
gaussian,30,500,OLS-TE,0.458,0.389,0.56,16.7
gaussian,50,60,LASSO-TE,0.036,0.157,0.021,1.2
gaussian,50,60,OLS-TE,0.142,0.14,0.146,1.2
gaussian,50,120,LASSO-TE,0.03,0.368,0.016,2.4
gaussian,50,120,OLS-TE,0.194,0.188,0.202,2.4
gaussian,50,250,LASSO-TE,0.122,0.794,0.066,5.0
gaussian,50,250,OLS-TE,0.318,0.285,0.362,5.0
gaussian,50,500,LASSO-TE,0.22,0.95,0.125,10.0
gaussian,50,500,OLS-TE,0.479,0.401,0.594,10.0
gaussian,100,60,LASSO-TE,0.01,0.173,0.005,0.6
gaussian,100,60,OLS-TE,0.113,0.109,0.117,0.6
gaussian,100,120,LASSO-TE,0.023,0.436,0.012,1.2
gaussian,100,120,OLS-TE,0.184,0.176,0.193,1.2
gaussian,100,250,LASSO-TE,0.063,0.795,0.033,2.5
gaussian,100,250,OLS-TE,0.315,0.284,0.352,2.5
gaussian,100,500,LASSO-TE,0.133,0.958,0.072,5.0
gaussian,100,500,OLS-TE,0.46,0.387,0.568,5.0
