quintile,ann_ret,t_stat,n_weeks,period
1,0.1871363399433061,1.8757057848704146,198,full
2,0.12082780448725976,1.233487522197871,198,full
3,0.11052503018085603,1.1410077872196476,198,full
4,0.07165060725111223,0.733341215817289,198,full
5,0.06031297642845585,0.5906781902925968,198,full
1,0.11683066050430894,0.8098416313080317,109,sub1
2,0.074811670992757,0.5143418987673157,109,sub1
3,0.03419248131979801,0.244889142808904,109,sub1
4,0.01450998085611654,0.09817576815436384,109,sub1
5,0.026988362811602672,0.16777017312008438,109,sub1
1,0.22881219592317942,2.1126992380615723,131,sub2
2,0.16804156742263715,1.667404796273969,131,sub2
3,0.175097097096233,1.6797502181256962,131,sub2
4,0.11181546357455328,1.1596846971293255,131,sub2
5,0.09833277999587038,1.0500753345637317,131,sub2
